#0.000120005   	(-6.200512e+06 1.683751e+06 2.536444e+06)	(-6.200487e+06 1.683751e+06 2.536444e+06)	(-2.507197e+01 -2.230156e-02 3.036540e-02)
#0.000264017   	(-4.665410e+05 1.466353e+05 2.259419e+05)	(-4.665094e+05 1.466353e+05 2.259419e+05)	(-3.158743e+01 -3.133048e-02 -6.039048e-02)
#0.000436833   	(-1.981848e+05 1.035695e+05 1.553532e+05)	(-1.981526e+05 1.035695e+05 1.553533e+05)	(-3.216994e+01 -3.299873e-02 -1.041627e-01)
#0.000644211   	(-1.125357e+05 7.901867e+04 1.195565e+05)	(-1.125036e+05 7.901873e+04 1.195566e+05)	(-3.212462e+01 -5.995049e-02 -1.239667e-01)
#0.000893055   	(-7.338265e+04 6.466057e+04 9.991648e+04)	(-7.335056e+04 6.466065e+04 9.991662e+04)	(-3.208322e+01 -8.249638e-02 -1.373763e-01)
#0.00119165    	(-5.075417e+04 5.566285e+04 8.799542e+04)	(-5.072213e+04 5.566295e+04 8.799556e+04)	(-3.204286e+01 -1.023603e-01 -1.464068e-01)
#0.0015499     	(-3.654778e+04 4.974324e+04 8.038423e+04)	(-3.651578e+04 4.974336e+04 8.038438e+04)	(-3.200214e+01 -1.207540e-01 -1.522305e-01)
#0.00197972    	(-2.705153e+04 4.569919e+04 7.536991e+04)	(-2.701957e+04 4.569933e+04 7.537007e+04)	(-3.196029e+01 -1.385716e-01 -1.555221e-01)
#0.00249549    	(-2.038404e+04 4.286930e+04 7.196275e+04)	(-2.035212e+04 4.286945e+04 7.196291e+04)	(-3.191710e+01 -1.565616e-01 -1.567439e-01)
#0.00311429    	(-1.555686e+04 4.081726e+04 6.959456e+04)	(-1.552499e+04 4.081744e+04 6.959472e+04)	(-3.187276e+01 -1.753572e-01 -1.563101e-01)
1.4           	(-4.468553e+03 3.101548e+04 5.764698e+04)	(-4.133179e+03 3.101068e+04 5.765111e+04)	(-3.353737e+02 4.805099e+00 -4.131124e+00)
1.45          	(-4.503264e+03 3.065219e+04 5.715412e+04)	(-4.161268e+03 3.064734e+04 5.715829e+04)	(-3.419957e+02 4.849560e+00 -4.175291e+00)
1.5           	(-4.520838e+03 3.032699e+04 5.671412e+04)	(-4.173231e+03 3.032211e+04 5.671827e+04)	(-3.476067e+02 4.881637e+00 -4.154297e+00)
1.55          	(-4.544153e+03 3.004912e+04 5.632470e+04)	(-4.191996e+03 3.004425e+04 5.632879e+04)	(-3.521569e+02 4.865336e+00 -4.090797e+00)
1.6           	(-4.558925e+03 2.977377e+04 5.598145e+04)	(-4.202831e+03 2.976890e+04 5.598544e+04)	(-3.560939e+02 4.865037e+00 -3.990992e+00)
1.65          	(-4.570257e+03 2.959640e+04 5.569761e+04)	(-4.210654e+03 2.959155e+04 5.570150e+04)	(-3.596030e+02 4.844245e+00 -3.888339e+00)
1.7           	(-4.569253e+03 2.936922e+04 5.540374e+04)	(-4.206572e+03 2.936444e+04 5.540750e+04)	(-3.626803e+02 4.775267e+00 -3.760375e+00)
1.75          	(-4.585325e+03 2.922614e+04 5.518945e+04)	(-4.219916e+03 2.922147e+04 5.519310e+04)	(-3.654092e+02 4.668241e+00 -3.650647e+00)
1.8           	(-4.591423e+03 2.910390e+04 5.499245e+04)	(-4.223509e+03 2.909934e+04 5.499596e+04)	(-3.679139e+02 4.565691e+00 -3.512458e+00)
1.85          	(-4.597144e+03 2.901015e+04 5.481646e+04)	(-4.226941e+03 2.900573e+04 5.481974e+04)	(-3.702027e+02 4.413201e+00 -3.275878e+00)
1.9           	(-4.612661e+03 2.896805e+04 5.468817e+04)	(-4.239991e+03 2.896374e+04 5.469132e+04)	(-3.726703e+02 4.310129e+00 -3.154269e+00)
1.95          	(-4.624598e+03 2.894604e+04 5.456394e+04)	(-4.249478e+03 2.894186e+04 5.456692e+04)	(-3.751202e+02 4.186765e+00 -2.976856e+00)
2             	(-4.632772e+03 2.894185e+04 5.447125e+04)	(-4.255349e+03 2.893777e+04 5.447407e+04)	(-3.774229e+02 4.083064e+00 -2.818646e+00)
2.05          	(-4.643107e+03 2.895855e+04 5.439757e+04)	(-4.263284e+03 2.895457e+04 5.440028e+04)	(-3.798232e+02 3.982167e+00 -2.710789e+00)
2.1           	(-4.649243e+03 2.901023e+04 5.432974e+04)	(-4.266664e+03 2.900633e+04 5.433235e+04)	(-3.825791e+02 3.902531e+00 -2.604471e+00)
2.15          	(-4.671283e+03 2.904174e+04 5.427784e+04)	(-4.286147e+03 2.903787e+04 5.428042e+04)	(-3.851360e+02 3.871174e+00 -2.575699e+00)
2.2           	(-4.682390e+03 2.909707e+04 5.423538e+04)	(-4.294617e+03 2.909319e+04 5.423801e+04)	(-3.877729e+02 3.881509e+00 -2.635515e+00)
2.25          	(-4.693806e+03 2.917165e+04 5.420454e+04)	(-4.303654e+03 2.916773e+04 5.420727e+04)	(-3.901518e+02 3.925942e+00 -2.732162e+00)
2.3           	(-4.693527e+03 2.919186e+04 5.413374e+04)	(-4.301171e+03 2.918791e+04 5.413660e+04)	(-3.923554e+02 3.948981e+00 -2.852415e+00)
2.35          	(-4.703549e+03 2.925000e+04 5.408849e+04)	(-4.308772e+03 2.924600e+04 5.409158e+04)	(-3.947772e+02 3.998628e+00 -3.081393e+00)
2.4           	(-4.707748e+03 2.928059e+04 5.404495e+04)	(-4.310928e+03 2.927652e+04 5.404826e+04)	(-3.968208e+02 4.077812e+00 -3.307040e+00)
2.45          	(-4.722137e+03 2.927906e+04 5.396696e+04)	(-4.323451e+03 2.927490e+04 5.397052e+04)	(-3.986855e+02 4.166571e+00 -3.563857e+00)
2.5           	(-4.727559e+03 2.928144e+04 5.387996e+04)	(-4.326839e+03 2.927719e+04 5.388384e+04)	(-4.007199e+02 4.253303e+00 -3.878164e+00)
